,title,hits,hits_grade
4494,马克思主义学院召开全体党员大会学习《中国共产党纪律处分条例》,217,18.083333333333332
4495,数学与统计学院院长谈“为什么学数学”,242,20.166666666666668
4496,岔路不迷茫，未来犹可期——物理学院召开2017级物理学类专业分流宣讲会,287,23.916666666666668
4497,图书馆举办2018秋季外文原版图书展,249,20.75
4498,大数据与软件学院2018级学生干部培训会,145,12.083333333333334
4499,资产公司党支部组织参观校史馆,177,14.75
4500,守望心灵，拥抱阳光,166,13.833333333333334
4501,离退休党委行政党支部举行“缅怀元帅聂荣臻共圆教育强国梦”党日活动,185,15.416666666666666
4502,药学院教职工参观立德树人馆,162,13.5
4503,土木工程学院教师参加第十五届全国混凝土结构教学研讨会暨第五届青年教师混凝土结构教学比赛,170,14.166666666666666
4504,2018年“九九重阳节，浓浓敬老情”系列活动顺利开展,221,18.416666666666668
4505,生物工程学院硕士党支部开展“红岩先锋”支部建设,151,12.583333333333334
4506,驰骋激情赛场 放飞青春梦想,144,12.0
4507,航空航天学院举办“新时代，新使命”主题党日活动,186,15.5
4508,中科院理化所黄勇研究员出席工程科学前沿讲坛并作报告,566,47.166666666666664
4509,国家审计进高校 重庆大学开展“新时代 新作为”财经法治宣传教育活动,1004,83.66666666666667
4510,2018“理科杯”篮球赛开幕,297,24.75
4511,2018年卓越联盟高校人才培养工作研讨会在重庆大学召开,925,77.08333333333333
4512,继教院教师党员专题学习新修订的《中国共产党纪律处分条例》,460,38.333333333333336
4513,重庆大学光电工程学院召开研究生香港访学交流会,236,19.666666666666668
4514,以史为鉴，思考未来,169,14.083333333333334
4515,法学院举行求职就业专场新老生交流会,311,25.916666666666668
4516,国家社科基金重大项目“大数据背景下我国大型城市资源环境承载力评价与政策研究”开题论证会在重庆大学举行,1187,98.91666666666667
4517,建管学院举办“智慧物管，美好家园”论坛,293,24.416666666666668
4518,大数据与软件学院本科生一支部开展组织生活会,260,21.666666666666668
4519,重温革命历史，坚定理想信念,252,21.0
4520,深空探测中心召开研究生教育培养工作会议,310,25.833333333333332
4521,建设管理与房地产学院新生杯篮球赛开幕式及表演赛顺利进行,230,19.166666666666668
4522,“伟大历程——回顾改革开放40年”主题党团活动顺利举行,361,30.083333333333332
4523,能源与动力工程学院与电气工程学院开展团委学生会干部培训,167,13.916666666666666
4524,节能减排，绿色能源,449,37.416666666666664
4525,激情辩论展风采 妙语连珠赛口才,201,16.75
4526,唇枪舌战显英豪,182,15.166666666666666
4527,职场扬帆 逐梦启航,201,16.75
4528,第九届研究生辩论赛第六场建管学院对阵公管学院,379,31.583333333333332
4529,化学化工学院李杨课题组在美国化学会刊《JACS》上发表关于环己炔化学的最新科研成果,2324,100.0
4530,拥有爱国情怀 、弘扬奋斗精神,360,30.0
4531,林毅夫教授一行到重庆大学访问交流,2852,100.0
4532,我校杨永川教授团队在Nature子刊《Nature Communications》发表研究论文,2526,100.0
4533,经管学院入党积极分子开展敬老献爱心活动,255,21.25
4534,重庆大学大力推进创新创业实践教育,1401,100.0
4535,薪火相继，助学圆梦,230,19.166666666666668
4536,积跬步志在千里 塑文化矢建一流,199,16.583333333333332
4537,首届名家传戏成果汇报演出在校举行,837,69.75
4538,机械研究生“科学道德与学风建设”暨新生入学交流活动成功举办,135,11.25
4539,机械研2017级研究生毕业电子注册图像信息采集工作圆满完成,143,11.916666666666666
4540,香港城市大学副校长吕坚院士应邀访问重庆大学,1460,100.0
4541,大数据与软件学院“知校爱校，兴校荣校”主题团日活动,362,30.166666666666668
4542,土木工程学院举行学生出国项目及资助政策宣讲会,189,15.75
4543,经管教工行政支部赴遵义开展红色教育活动,270,22.5
4544,千变万话，声控全场--大数据与软件学院迎新晚会主持人选拔初赛,213,17.75
4545,齐爱民教授荣获2018年中国智库创新人才“先锋人物奖”,439,36.583333333333336
4546,重庆大学开展“感恩中国近现代科学家奖助学金”评选,628,52.333333333333336
4547,探寻校史，继往开来,3767,100.0
4548,晨光熹微听书声琅琅，星月升起伴学子挑灯,3150,100.0
4549,离退休党委行政党支部组织开展学习杨雪峰同志先进事迹专题党课,460,38.333333333333336
4550,重庆大学召开2018年保密工作培训会议,2728,100.0
4551,星期日讲座——出土文献与古文字漫谈,243,20.25
4552,中国•重庆“徐悲鸿与二十世纪中国美术”国际学术研讨会成功召开,331,27.583333333333332
